0,21.90972,4.98376,30.0865712048193,32.2006686144578
0.002,21.91728,4.98227,30.0590361445783,32.2289156626506
0.004,21.9143,4.9882,30.0578313253012,32.2289156626506
0.006,21.91113,4.98364,30.0566265060241,32.228313253012
0.008,21.92895,4.97762,30.055421686747,32.228313253012
0.01,21.90891,4.98701,30.055421686747,32.2277108433735
0.012,21.90539,4.98586,30.0542168674699,32.2277108433735
0.014,21.90862,4.98301,30.0536144578313,32.2271084337349
0.016,21.90864,4.98785,30.0530120481928,32.2265060240964
0.018,21.89838,4.98589,30.0512048192771,32.2265060240964
0.02,21.90999,4.99207,30.0506024096386,32.2259036144578
0.022,21.91874,4.98026,30.0487951807229,32.2246987951807
0.024,21.89875,4.99051,30.0487951807229,32.2240963855422
0.026,21.89347,4.98871,30.0475903614458,32.2240963855422
0.028,21.90744,4.9827,30.0463855421687,32.2228915662651
0.03,21.90478,4.98346,30.0457831325301,32.2222891566265
0.032,21.89761,4.98675,30.044578313253,32.2222891566265
0.034,21.90394,4.97693,30.0427710843373,32.2210843373494
0.036,21.9034,4.99477,30.0421686746988,32.2204819277108
0.038,21.89474,4.98321,30.0403614457831,32.2198795180723
0.04,21.8953,4.97852,30.0397590361446,32.2186746987952
0.042,21.90048,4.97692,30.0379518072289,32.2174698795181
0.044,21.89115,4.98249,30.0367469879518,32.2174698795181
0.046,21.86664,4.99167,30.0367469879518,32.2156626506024
0.048,21.867,4.9878,30.0355421686747,32.2150602409639
0.05,21.88682,4.97804,30.0349397590361,32.2132530120482
0.052,21.86996,4.9806,30.0349397590361,32.2120481927711
0.054,21.90076,4.97489,30.0343373493976,32.210843373494
0.056,21.89529,4.97963,30.0343373493976,32.2102409638554
0.058,21.86772,4.97318,30.0349397590361,32.2090361445783
0.06,21.87327,4.9764,30.0343373493976,32.2078313253012
0.062,21.89835,4.98246,30.033734939759,32.2066265060241
0.064,21.86506,4.9831,30.0343373493976,32.2048192771084
0.066,21.86317,4.98417,30.0349397590361,32.2042168674699
0.068,21.87355,4.98384,30.0349397590361,32.2036144578313
0.07,21.83939,4.97557,30.0355421686747,32.2030120481928
0.072,21.85215,4.98519,30.0361445783133,32.2006024096385
0.074,21.84653,4.96782,30.0361445783133,32.1825301204819
0.076,21.86422,4.98909,30.0367469879518,32.1813253012048
0.078,21.85674,4.96921,30.0361445783133,32.1801204819277
0.08,21.85093,4.98718,30.0373493975904,32.1795180722891
0.082,21.84156,4.97425,30.0373493975904,32.178313253012
0.084,21.845,4.97955,30.0367469879518,32.178313253012
0.086,21.85333,4.98572,30.0373493975904,32.1765060240964
0.088,21.83726,4.98277,30.0373493975904,32.1765060240964
0.09,21.85763,4.97937,30.0373493975904,32.1753012048193
0.092,21.83662,4.98111,30.0379518072289,32.1746987951807
0.094,21.85376,4.98641,30.0367469879518,32.1740963855422
0.096,21.84545,4.97854,30.0367469879518,32.1734939759036
0.098,21.82979,4.98548,30.0361445783133,32.1728915662651
0.1,21.84337,4.96943,30.0349397590361,32.1728915662651
0.102,21.84226,4.98928,30.0349397590361,32.1716867469879
0.104,21.8415,4.97553,30.033734939759,32.1716867469879
0.106,21.84063,4.97851,30.0331325301205,32.1704819277108
0.108,21.83097,4.97794,30.0325301204819,32.1698795180723
0.11,21.83211,4.97585,30.0325301204819,32.1704819277108
0.112,21.83979,4.97941,30.0325301204819,32.1698795180723
0.114,21.85095,4.98098,30.0325301204819,32.1692771084337
0.116,21.80861,4.97634,30.0331325301205,32.1686746987952
0.118,21.80706,4.97901,30.0331325301205,32.1686746987952
0.12,21.805,4.98247,30.0343373493976,32.1674698795181
0.122,21.83639,4.97883,30.0343373493976,32.1680722891566
0.124,21.83008,4.97614,30.0355421686747,32.1680722891566
0.126,21.83419,4.97005,30.0361445783133,32.1674698795181
0.128,21.84634,4.97841,30.0373493975904,32.1668674698795
0.13,21.83023,4.97274,30.0385542168675,32.1668674698795
0.132,21.83375,4.9722,30.0403614457831,32.1656626506024
0.134,21.83415,4.97557,30.0415662650602,32.1656626506024
0.136,21.80397,4.97932,30.0427710843373,32.1656626506024
0.138,21.80309,4.98272,30.0433734939759,32.1644578313253
0.14,21.80818,4.97961,30.044578313253,32.1644578313253
0.142,21.80565,4.97939,30.0451807228916,32.1638554216867
0.144,21.80608,4.98269,30.0469879518072,32.1638554216867
0.146,21.79928,4.97848,30.0475903614458,32.1632530120482
0.148,21.80092,4.98638,30.0487951807229,32.1626506024096
0.15,21.8333,4.971,30.05,32.1626506024096
0.152,21.81333,4.98355,30.0506024096386,32.1614457831325
0.154,21.79502,4.98238,30.0518072289157,32.1614457831325
0.156,21.78881,4.97162,30.0524096385542,32.1614457831325
0.158,21.78693,4.96577,30.0530120481928,32.1602409638554
0.16,21.80011,4.97022,30.0542168674699,32.1602409638554
0.162,21.78804,4.98025,30.0548192771084,32.1596385542169
0.164,21.78164,4.97558,30.055421686747,32.1596385542169
0.166,21.80994,4.97848,30.0566265060241,32.1596385542169
0.168,21.79008,4.97782,30.0578313253012,32.1590361445783
0.17,21.79137,4.97967,30.0584337349398,32.1578313253012
0.172,21.79286,4.94042,30.0596385542169,32.1578313253012
0.174,21.80079,4.97837,30.060843373494,32.1572289156626
0.176,21.79527,4.93618,30.0620481927711,32.1572289156626
0.178,21.79005,4.9716,30.0632530120482,32.1566265060241
0.18,21.7915,4.97282,30.0644578313253,32.1560240963855
0.182,21.78484,4.98265,30.066265060241,32.1560240963855
0.184,21.79342,4.97324,30.0674698795181,32.1566265060241
0.186,21.78958,4.97888,30.0692771084337,32.155421686747
0.188,21.78439,4.93477,30.0722891566265,32.1560240963855
0.19,21.78899,4.97099,30.0734939759036,32.1560240963855
0.192,21.77704,4.968,30.0777108433735,32.155421686747
0.194,21.78525,4.97359,30.0801204819277,32.1548192771084
0.196,21.7931,4.97623,30.0825301204819,32.1548192771084
0.198,21.77876,4.97457,30.0855421686747,32.1548192771084
0.2,21.78001,4.96919,30.089156626506,32.1542168674699
0.202,21.7839,4.97179,30.1156626506024,32.1542168674699
0.204,21.78556,4.97381,30.1180722891566,32.1542168674699
0.206,21.78561,4.97374,30.1198795180723,32.1536144578313
0.208,21.78065,4.9702,30.1210843373494,32.1530120481928
0.21,21.78733,4.97273,30.1222891566265,32.1518072289157
0.212,21.79711,4.93408,30.1234939759036,32.1512048192771
0.214,21.79107,4.93584,30.1246987951807,32.1512048192771
0.216,21.7832,4.93459,30.1259036144578,32.1506024096386
0.218,21.77879,4.91638,30.1271084337349,32.1493975903614
0.22,21.794,4.93392,30.1265060240964,32.1481927710843
0.222,21.77639,4.9228,30.128313253012,32.1481927710843
0.224,21.78498,4.93289,30.128313253012,32.1481927710843
0.226,21.79569,4.93609,30.1295180722892,32.1463855421687
0.228,21.78665,4.93032,30.1289156626506,32.1451807228916
0.23,21.78686,4.93313,30.1289156626506,32.1451807228916
0.232,21.7893,4.92427,30.1301204819277,32.1439759036145
0.234,21.79056,4.92524,30.1319277108434,32.1427710843373
0.236,21.7908,4.92671,30.1349397590361,32.1415662650602
0.238,21.79166,4.93457,30.1403614457831,32.1367469879518
0.24,21.79808,4.92784,30.1481927710843,32.1180722891566
0.242,21.78934,4.92479,30.1819277108434,32.116265060241
0.244,21.79123,4.93091,30.1993975903614,32.1150602409639
0.246,21.80212,4.92547,30.2524096385542,32.1156626506024
0.248,21.80105,4.92322,30.3240963855422,32.116265060241
0.25,21.8036,4.92442,30.4493975903614,32.1216867469879
0.252,21.79699,4.93285,30.6138554216867,32.1301204819277
0.254,21.80517,4.93544,30.8198795180723,32.1457831325301
0.256,21.80057,4.93425,31.0638554216867,32.1728915662651
0.258,21.79564,4.97503,31.3343373493976,32.1831325301205
0.26,21.79957,4.97299,31.6186746987952,32.1903614457831
0.262,21.8061,4.97219,31.8909638554217,32.1915662650602
